id,dataset_name,folding,method
5s_Mycoplasma-gallisepticum-1,archiveII,"[[2, 105], [3, 104], [4, 103], [5, 102], [6, 101], [7, 100], [8, 99], [9, 65], [10, 64], [11, 63], [12, 62], [13, 61], [15, 59], [16, 58], [17, 57], [24, 54], [25, 53], [26, 52], [29, 49], [30, 48], [31, 47], [32, 46], [69, 94], [70, 93], [76, 87], [77, 86], [78, 85], [79, 84]]",RNAfold
srp_Pseu.aeru._AE004581,archiveII,"[[1, 110], [2, 109], [3, 108], [4, 107], [5, 106], [6, 105], [7, 104], [8, 103], [9, 102], [10, 101], [11, 100], [12, 99], [13, 98], [14, 97], [15, 96], [16, 95], [17, 93], [18, 91], [19, 90], [20, 89], [21, 88], [22, 87], [23, 85], [24, 84], [25, 82], [26, 81], [27, 80], [28, 79], [29, 78], [32, 74], [33, 73], [34, 72], [35, 71], [36, 70], [42, 67], [43, 66], [44, 65], [45, 64], [50, 59], [51, 58], [52, 57]]",RNAfold
RNaseP_WA1,archiveII,"[[6, 293], [7, 292], [8, 291], [10, 290], [11, 289], [12, 288], [13, 287], [14, 286], [16, 284], [17, 283], [23, 71], [24, 70], [25, 69], [26, 68], [32, 63], [33, 62], [34, 59], [35, 58], [36, 57], [37, 56], [39, 53], [40, 52], [41, 51], [42, 50], [43, 49], [44, 48], [84, 113], [85, 112], [86, 111], [87, 110], [88, 109], [91, 106], [92, 105], [95, 102], [96, 101], [118, 136], [119, 135], [120, 134], [121, 133], [122, 132], [123, 131], [138, 158], [139, 157], [140, 156], [141, 155], [142, 154], [143, 152], [144, 151], [145, 150], [160, 178], [161, 177], [162, 176], [163, 175], [164, 174], [165, 173], [179, 235], [180, 234], [181, 233], [182, 232], [185, 231], [186, 230], [187, 229], [194, 223], [195, 222], [196, 221], [197, 220], [198, 219], [199, 218], [200, 217], [204, 216], [205, 215], [206, 214], [207, 213], [208, 212], [239, 258], [240, 257], [241, 256], [242, 255], [244, 253], [245, 252], [246, 251], [259, 281], [260, 280], [262, 278], [263, 277], [264, 276], [265, 275], [266, 274]]",RNAfold
tRNA_tdbR00000165-Solanum_tuberosum-4113-Ile-AU,archiveII,"[[1, 73], [2, 72], [3, 71], [4, 70], [5, 69], [6, 68], [7, 67], [8, 65], [9, 64], [10, 63], [18, 62], [19, 61], [20, 60], [21, 59], [24, 56], [25, 55], [26, 54], [28, 52], [29, 51], [30, 50], [34, 45], [35, 44], [36, 43], [37, 42]]",RNAfold
5s_Anaplasma-phagocytophilum-1,archiveII,"[[1, 116], [2, 115], [3, 114], [4, 113], [5, 112], [6, 111], [7, 110], [8, 109], [9, 108], [10, 107], [14, 106], [15, 105], [16, 104], [18, 31], [19, 30], [21, 29], [22, 28], [23, 27], [32, 60], [33, 59], [34, 58], [35, 55], [36, 54], [37, 53], [39, 52], [40, 51], [41, 50], [42, 49], [43, 48], [62, 103], [63, 102], [64, 101], [67, 98], [69, 96], [70, 95], [71, 94], [72, 93], [73, 92], [74, 91], [78, 89], [79, 88], [80, 87]]",RNAfold
srp_Proc.mari._CP000551,archiveII,"[[1, 94], [2, 93], [3, 92], [4, 91], [5, 90], [6, 89], [7, 88], [8, 87], [10, 84], [11, 83], [12, 82], [13, 81], [14, 80], [15, 79], [16, 58], [17, 57], [18, 56], [20, 54], [21, 53], [26, 50], [27, 49], [28, 48], [32, 47], [33, 46], [34, 45], [35, 44], [36, 43], [37, 42], [60, 74], [61, 73], [62, 72], [63, 71], [64, 70], [65, 69]]",RNAfold
srp_Phae.nodo._GSP-321614,archiveII,"[[1, 13], [2, 12], [3, 11], [4, 10], [5, 9], [18, 258], [19, 257], [20, 256], [21, 255], [22, 254], [25, 251], [26, 250], [27, 249], [28, 248], [29, 247], [31, 245], [32, 244], [33, 243], [37, 241], [38, 240], [39, 239], [40, 238], [41, 237], [42, 236], [43, 235], [44, 234], [47, 231], [48, 230], [49, 229], [50, 228], [51, 227], [52, 226], [60, 224], [61, 223], [62, 222], [63, 221], [64, 220], [65, 219], [66, 218], [69, 215], [70, 214], [71, 213], [72, 212], [74, 207], [75, 206], [76, 205], [77, 204], [78, 203], [79, 201], [80, 200], [81, 199], [83, 196], [84, 195], [85, 194], [86, 193], [87, 192], [88, 191], [89, 190], [90, 189], [91, 188], [92, 187], [93, 134], [94, 133], [95, 132], [96, 131], [97, 130], [99, 129], [100, 128], [101, 127], [102, 126], [103, 124], [104, 122], [105, 121], [106, 120], [107, 119], [108, 118], [110, 117], [111, 116], [144, 186], [145, 185], [146, 184], [147, 183], [148, 182], [149, 181], [152, 180], [153, 179], [155, 178], [156, 177], [157, 176], [161, 172], [162, 171], [163, 170], [164, 169]]",RNAfold
tmRNA_Rals.sola._AL646061_1-357,archiveII,"[[1, 356], [2, 355], [3, 354], [4, 353], [5, 352], [6, 351], [7, 350], [20, 329], [21, 328], [22, 327], [23, 326], [24, 325], [25, 324], [26, 323], [27, 322], [33, 317], [34, 316], [35, 315], [36, 314], [38, 313], [39, 312], [40, 311], [41, 310], [43, 305], [44, 304], [45, 303], [46, 302], [47, 301], [48, 300], [50, 248], [51, 247], [53, 245], [54, 244], [55, 243], [58, 240], [59, 239], [60, 238], [61, 237], [62, 236], [63, 78], [64, 77], [65, 76], [66, 75], [67, 74], [68, 73], [89, 111], [90, 110], [91, 109], [93, 107], [94, 106], [95, 105], [96, 104], [97, 103], [114, 132], [115, 131], [116, 130], [117, 128], [118, 127], [119, 126], [133, 183], [135, 181], [136, 180], [137, 179], [138, 178], [139, 177], [140, 176], [142, 161], [143, 160], [144, 159], [145, 158], [146, 157], [147, 156], [148, 155], [149, 154], [162, 173], [163, 172], [164, 171], [165, 170], [193, 233], [194, 232], [195, 231], [198, 226], [199, 225], [200, 224], [201, 223], [202, 222], [203, 221], [204, 220], [205, 219], [206, 218], [207, 217], [249, 274], [250, 273], [251, 272], [252, 271], [254, 269], [255, 268], [256, 267], [257, 266], [258, 265], [275, 293], [276, 292], [277, 291], [278, 290], [279, 289], [280, 288], [333, 349], [334, 348], [335, 347], [336, 346], [337, 345]]",RNAfold
tmRNA_Colw.psyc._CP000083_1-350,archiveII,"[[1, 346], [2, 345], [3, 344], [4, 343], [5, 342], [6, 341], [7, 340], [11, 250], [12, 249], [13, 248], [14, 247], [16, 245], [17, 244], [18, 243], [19, 242], [27, 241], [28, 240], [29, 239], [30, 238], [31, 237], [35, 207], [36, 206], [37, 205], [38, 204], [39, 203], [40, 202], [41, 200], [42, 199], [43, 198], [44, 197], [46, 195], [48, 194], [49, 193], [50, 192], [52, 78], [54, 76], [55, 75], [56, 74], [59, 71], [60, 70], [61, 69], [62, 68], [63, 67], [90, 111], [91, 110], [92, 109], [94, 107], [95, 106], [96, 105], [97, 104], [112, 128], [113, 127], [114, 126], [115, 125], [116, 124], [117, 123], [129, 170], [130, 169], [131, 168], [132, 167], [133, 166], [134, 165], [135, 162], [136, 161], [137, 160], [138, 159], [141, 157], [142, 156], [143, 155], [144, 154], [176, 184], [177, 183], [208, 232], [209, 231], [210, 230], [211, 228], [212, 227], [216, 225], [217, 224], [253, 291], [254, 290], [255, 289], [256, 288], [257, 287], [258, 286], [259, 284], [260, 283], [261, 282], [263, 280], [264, 279], [266, 277], [267, 276], [268, 275], [297, 322], [298, 321], [300, 320], [301, 319], [302, 318], [303, 317], [304, 316], [305, 315], [306, 314], [307, 312], [323, 339], [324, 338], [325, 337], [326, 336], [327, 335]]",RNAfold
5s_Azotobacter-vinelandii-1,archiveII,"[[2, 118], [3, 117], [4, 116], [5, 115], [6, 114], [7, 113], [8, 112], [9, 111], [10, 110], [11, 109], [16, 68], [17, 67], [18, 65], [19, 64], [20, 63], [21, 62], [22, 61], [23, 60], [28, 56], [29, 55], [30, 54], [31, 51], [32, 50], [33, 49], [34, 48], [35, 45], [36, 44], [69, 107], [70, 106], [71, 105], [81, 95], [82, 94], [83, 93], [84, 92], [85, 91], [86, 90]]",RNAfold
5s_Rhodopirellula-baltica-1,archiveII,"[[2, 109], [3, 108], [4, 107], [5, 106], [6, 105], [7, 104], [8, 103], [9, 102], [21, 31], [22, 30], [23, 29], [24, 28], [32, 46], [33, 45], [34, 44], [35, 43], [50, 80], [51, 79], [52, 78], [53, 75], [54, 74], [55, 73], [56, 72], [58, 68], [59, 67], [60, 66], [61, 65], [83, 100], [84, 99], [85, 98], [87, 96], [88, 95]]",RNAfold
RNaseP_PS26,archiveII,"[[7, 350], [8, 349], [10, 348], [11, 347], [12, 346], [13, 345], [14, 188], [15, 187], [16, 186], [17, 185], [18, 184], [20, 30], [21, 29], [32, 50], [33, 49], [34, 48], [35, 47], [36, 46], [37, 45], [38, 44], [39, 43], [52, 183], [53, 182], [54, 181], [55, 180], [56, 179], [63, 178], [64, 177], [65, 176], [70, 173], [71, 172], [72, 171], [73, 170], [85, 120], [86, 119], [87, 118], [88, 114], [89, 113], [90, 112], [95, 108], [96, 107], [97, 106], [98, 105], [99, 104], [126, 144], [127, 143], [128, 142], [129, 141], [130, 140], [131, 139], [146, 165], [147, 164], [148, 163], [151, 160], [152, 159], [153, 158], [191, 254], [192, 253], [193, 252], [194, 251], [195, 250], [196, 249], [201, 245], [202, 244], [203, 243], [204, 242], [205, 241], [206, 240], [207, 239], [210, 221], [211, 220], [212, 219], [213, 218], [223, 237], [224, 236], [225, 235], [226, 234], [227, 233], [228, 232], [256, 287], [257, 286], [258, 285], [261, 281], [262, 280], [263, 279], [265, 278], [266, 277], [267, 276], [268, 275], [269, 274], [294, 341], [295, 340], [296, 339], [299, 337], [300, 336], [301, 335], [302, 334], [303, 333], [304, 332], [305, 331], [306, 330], [307, 329], [311, 325], [312, 324], [313, 323], [314, 322], [316, 321]]",RNAfold
srp_Carb.hydr._CP000141,archiveII,"[[7, 32], [8, 31], [9, 30], [10, 29], [15, 24], [16, 23], [17, 22]]",RNAfold
telomerase_AF221906.96-545,archiveII,"[[6, 450], [7, 449], [8, 448], [12, 215], [14, 213], [15, 212], [16, 211], [18, 208], [19, 207], [20, 206], [21, 205], [22, 204], [23, 203], [25, 201], [26, 200], [27, 199], [28, 198], [29, 197], [30, 196], [31, 195], [32, 194], [33, 193], [34, 192], [36, 189], [37, 188], [38, 187], [45, 164], [46, 163], [47, 162], [48, 161], [55, 154], [56, 153], [58, 151], [59, 149], [60, 148], [61, 147], [62, 146], [63, 145], [64, 144], [67, 141], [68, 140], [69, 139], [70, 138], [71, 137], [72, 136], [76, 132], [78, 131], [79, 130], [80, 129], [81, 128], [82, 127], [83, 126], [89, 125], [90, 124], [91, 123], [92, 122], [94, 120], [95, 119], [96, 118], [97, 117], [98, 116], [103, 111], [104, 110], [165, 183], [166, 182], [169, 179], [170, 178], [171, 177], [217, 366], [218, 365], [219, 364], [220, 363], [221, 362], [222, 361], [223, 360], [224, 359], [225, 358], [227, 346], [228, 345], [229, 344], [230, 343], [231, 342], [232, 341], [233, 338], [234, 337], [235, 336], [236, 335], [237, 334], [238, 333], [239, 332], [240, 331], [241, 330], [243, 326], [244, 325], [245, 324], [246, 323], [247, 322], [253, 321], [254, 320], [255, 319], [256, 300], [257, 299], [258, 298], [259, 297], [260, 296], [261, 295], [264, 293], [265, 292], [268, 288], [269, 287], [270, 286], [271, 284], [272, 283], [273, 282], [274, 281], [275, 280], [302, 314], [303, 313], [304, 312], [305, 311], [306, 310], [348, 357], [349, 356], [350, 355], [368, 408], [369, 407], [370, 406], [371, 405], [372, 404], [377, 400], [378, 399], [379, 398], [380, 397], [382, 395], [383, 394], [384, 393], [409, 444], [410, 443], [411, 442], [412, 441], [413, 440], [414, 439], [415, 438], [418, 437], [419, 436], [420, 435], [421, 434], [422, 433], [424, 431]]",RNAfold
srp_Buch.aphi._BA000003,archiveII,"[[1, 110], [2, 109], [3, 108], [4, 107], [5, 106], [6, 105], [7, 104], [8, 103], [9, 102], [10, 101], [13, 98], [14, 97], [15, 96], [16, 95], [20, 38], [21, 37], [22, 36], [23, 35], [24, 34], [25, 33], [26, 31], [39, 92], [40, 91], [41, 90], [42, 89], [43, 88], [44, 87], [49, 84], [50, 83], [51, 82], [52, 81], [53, 80], [55, 78], [60, 75], [61, 74], [62, 73], [64, 71], [65, 70]]",RNAfold
tmRNA_Esch.coli._BA000007_1-363,archiveII,"[[1, 359], [2, 358], [3, 357], [4, 356], [5, 355], [6, 354], [7, 353], [13, 210], [14, 209], [16, 207], [17, 206], [18, 205], [20, 203], [21, 202], [22, 201], [24, 199], [25, 198], [26, 197], [27, 196], [28, 195], [35, 54], [36, 53], [37, 52], [40, 49], [41, 48], [42, 47], [55, 78], [56, 77], [57, 76], [58, 75], [59, 74], [60, 73], [87, 98], [88, 97], [89, 96], [90, 95], [108, 137], [109, 136], [110, 135], [111, 134], [112, 133], [113, 132], [114, 130], [115, 129], [116, 128], [117, 127], [138, 181], [139, 180], [140, 179], [141, 178], [142, 177], [143, 176], [144, 171], [145, 170], [146, 169], [147, 168], [148, 167], [151, 164], [152, 163], [153, 162], [213, 245], [214, 244], [215, 243], [216, 242], [217, 241], [218, 240], [219, 236], [220, 235], [221, 234], [222, 233], [248, 283], [249, 282], [250, 281], [251, 280], [252, 279], [253, 278], [254, 277], [255, 276], [256, 275], [257, 274], [259, 272], [260, 271], [261, 270], [286, 306], [287, 305], [288, 304], [289, 303], [292, 300], [293, 299], [310, 335], [311, 334], [313, 333], [314, 332], [315, 331], [316, 330], [317, 329], [318, 328], [320, 325], [336, 352], [337, 351], [338, 350], [339, 349], [340, 348]]",RNAfold
5s_Bacillus-thuringiensis-5,archiveII,"[[1, 113], [2, 112], [3, 111], [4, 110], [5, 109], [6, 108], [7, 107], [8, 106], [9, 105], [10, 37], [11, 36], [12, 35], [13, 34], [16, 33], [17, 32], [18, 31], [20, 29], [21, 28], [39, 48], [40, 47], [41, 46], [56, 100], [57, 99], [58, 98], [59, 97], [60, 96], [61, 95], [63, 78], [64, 77], [65, 76], [66, 74], [67, 73], [68, 72], [79, 91], [80, 90], [81, 89], [82, 88], [83, 87]]",RNAfold
tRNA_tdbR00000032-Rattus_norvegicus-10116-Asp-GUC,archiveII,"[[2, 68], [3, 67], [4, 66], [5, 65], [6, 64], [7, 63], [11, 23], [12, 22], [13, 21], [14, 20], [25, 41], [26, 40], [27, 39], [28, 38], [29, 37], [30, 36], [31, 35], [45, 62], [46, 61], [47, 60], [48, 59], [49, 58], [50, 57]]",RNAfold
tmRNA_Stap.epid._TRW-1282-2_1-362,archiveII,"[[1, 358], [2, 357], [3, 356], [4, 355], [5, 354], [6, 353], [7, 352], [13, 348], [14, 347], [15, 346], [16, 345], [17, 344], [18, 343], [19, 342], [20, 341], [21, 331], [22, 330], [23, 329], [24, 328], [25, 327], [26, 326], [27, 325], [28, 324], [29, 323], [35, 45], [36, 44], [37, 43], [38, 42], [46, 69], [47, 68], [48, 67], [50, 65], [51, 64], [52, 63], [53, 62], [54, 61], [80, 95], [81, 94], [82, 93], [83, 92], [84, 91], [85, 90], [96, 318], [97, 317], [98, 316], [99, 315], [100, 314], [101, 313], [102, 312], [116, 140], [117, 139], [118, 138], [119, 137], [120, 136], [122, 134], [123, 133], [124, 132], [125, 131], [141, 178], [142, 177], [143, 176], [144, 175], [145, 174], [147, 171], [148, 170], [149, 169], [150, 168], [151, 167], [152, 166], [153, 165], [154, 164], [155, 163], [186, 200], [187, 199], [188, 198], [189, 197], [190, 196], [210, 243], [211, 242], [212, 241], [213, 240], [214, 239], [215, 238], [220, 234], [221, 233], [222, 232], [223, 231], [224, 230], [246, 280], [247, 279], [248, 278], [249, 277], [250, 276], [251, 275], [252, 274], [253, 273], [254, 272], [255, 271], [256, 270], [257, 268], [258, 267], [297, 308], [298, 307], [299, 306], [300, 305]]",RNAfold
5s_Sandaracinobacter-sibiricus-1,archiveII,"[[1, 120], [2, 119], [3, 118], [4, 117], [5, 116], [6, 115], [7, 114], [8, 113], [9, 112], [23, 111], [24, 110], [25, 109], [26, 108], [27, 107], [28, 106], [29, 105], [31, 45], [32, 44], [34, 42], [35, 41], [36, 40], [47, 103], [48, 102], [49, 101], [50, 100], [53, 97], [54, 96], [55, 95], [56, 93], [57, 92], [64, 84], [65, 83], [66, 82], [67, 81], [68, 80], [70, 78], [71, 77], [72, 76]]",RNAfold
RNaseP_S.uvarum,archiveII,"[[2, 367], [3, 366], [4, 365], [5, 364], [6, 363], [7, 362], [8, 361], [9, 360], [10, 359], [11, 358], [12, 357], [13, 356], [14, 355], [17, 323], [18, 322], [19, 321], [20, 320], [21, 319], [22, 318], [23, 317], [24, 316], [25, 315], [26, 314], [31, 68], [32, 67], [33, 66], [34, 65], [35, 64], [36, 63], [37, 62], [38, 61], [39, 60], [40, 59], [42, 57], [43, 56], [46, 53], [47, 52], [71, 305], [72, 304], [73, 303], [74, 302], [75, 301], [80, 270], [81, 269], [82, 268], [83, 267], [84, 266], [85, 265], [86, 264], [87, 263], [88, 262], [89, 261], [95, 122], [96, 121], [98, 119], [99, 118], [100, 117], [102, 116], [103, 115], [106, 112], [107, 111], [123, 150], [124, 149], [125, 148], [126, 147], [127, 146], [128, 145], [129, 144], [130, 143], [131, 142], [132, 141], [133, 140], [151, 166], [152, 165], [154, 163], [155, 162], [156, 161], [173, 186], [174, 185], [175, 184], [176, 183], [177, 182], [193, 260], [194, 259], [195, 258], [196, 257], [197, 256], [198, 255], [199, 254], [200, 253], [201, 252], [202, 251], [203, 250], [205, 247], [206, 246], [213, 245], [214, 244], [215, 243], [216, 241], [217, 240], [218, 239], [219, 238], [220, 237], [221, 236], [222, 235], [223, 234], [224, 233], [225, 232], [226, 231], [271, 300], [272, 299], [273, 298], [274, 297], [276, 295], [277, 294], [278, 293], [279, 291], [280, 289], [281, 288], [282, 287], [324, 337], [325, 336], [326, 335], [327, 334], [328, 333], [342, 349], [343, 348]]",RNAfold
5s_Exobasidium-vaccinii-1,archiveII,"[[3, 116], [4, 115], [5, 114], [6, 113], [7, 112], [8, 111], [9, 110], [14, 65], [15, 64], [16, 62], [17, 61], [18, 60], [19, 59], [20, 58], [21, 57], [25, 52], [26, 51], [29, 48], [30, 47], [31, 46], [32, 45], [33, 42], [34, 41], [66, 109], [67, 108], [68, 107], [69, 106], [70, 105], [71, 104], [78, 98], [79, 97], [80, 96], [81, 95], [82, 94], [84, 93], [85, 92], [86, 91]]",RNAfold
tmRNA_Arth.spec._CP000454_1-369,archiveII,"[[1, 365], [2, 364], [3, 363], [4, 362], [5, 361], [6, 360], [7, 359], [10, 338], [11, 337], [12, 336], [13, 335], [15, 333], [16, 332], [17, 331], [22, 327], [23, 326], [24, 325], [25, 324], [26, 323], [27, 322], [28, 40], [29, 39], [30, 38], [31, 37], [42, 82], [43, 81], [44, 80], [45, 79], [46, 78], [47, 77], [49, 75], [51, 73], [54, 70], [55, 69], [56, 68], [57, 66], [58, 65], [59, 64], [92, 112], [93, 111], [94, 110], [95, 109], [96, 108], [97, 106], [113, 147], [114, 146], [115, 145], [116, 144], [119, 143], [121, 142], [122, 141], [123, 140], [125, 138], [126, 137], [127, 136], [128, 135], [129, 134], [148, 184], [149, 183], [150, 182], [151, 181], [152, 180], [153, 179], [155, 175], [156, 174], [157, 173], [158, 172], [159, 171], [160, 170], [161, 169], [185, 244], [186, 243], [187, 242], [188, 241], [189, 240], [190, 238], [191, 237], [192, 236], [193, 235], [201, 233], [203, 231], [204, 230], [205, 229], [206, 228], [207, 227], [208, 226], [209, 225], [210, 224], [211, 223], [212, 222], [213, 221], [245, 289], [246, 288], [248, 286], [249, 285], [250, 284], [251, 283], [252, 282], [257, 281], [258, 280], [259, 279], [260, 278], [261, 277], [262, 276], [263, 274], [264, 273], [265, 272], [266, 271], [294, 315], [295, 314], [296, 313], [297, 312], [299, 309], [300, 308], [301, 307], [302, 306], [342, 358], [343, 357], [344, 356], [345, 355], [346, 354]]",RNAfold
